,date,JPM,BAC,WFC,C,BK,JPM_ret,BAC_ret,WFC_ret,C_ret,BK_ret,port_ret,port_volume,quarter,DGS1,DGS10,DGS1MO,DGS2,DGS20,DGS3,DGS30,DGS3MO,DGS5,DGS6MO,DGS7,month,year,weekday,dayofweek,sentiment_bert,vader_neg,vader_neu,vader_pos,vader_compound,vader_compound_dummy,roberta_neg,roberta_neu,roberta_pos,roberta_compound,roberta_compound_dummy
596,2022-05-13,113.61241912841795,33.76220703125,41.16434097290039,45.15499114990234,41.62189865112305,0.0088952577053613,0.0028514304458893,0.019851646394988,0.0231959132705814,0.0151832779806369,0.0162422068858473,89.89968741232116,2022Q2,2.04,2.93,0.67,2.61,3.32,2.79,3.1,1.03,2.89,1.47,2.95,5.0,2022.0,4.0,Friday,1.0804597701149423,0.0922758620689655,0.7855977011494252,0.1221494252873563,0.1329850574712643,2.1724137931034484,0.2208912229545457,0.6424830124295992,0.1366257574730391,-0.0842654654815065,1.885057471264368
597,2022-05-16,112.8206024169922,33.41661834716797,40.74922180175781,44.98437881469727,41.41120910644531,-0.0069694556061759,-0.0102359624701713,-0.0100844362215312,-0.0037783715788732,-0.0050619878358684,-0.0082833769879947,89.15501441038201,2022Q2,2.07,2.88,0.64,2.58,3.3,2.75,3.09,1.07,2.83,1.54,2.89,5.0,2022.0,0.0,Monday,1.1555555555555554,0.0823333333333333,0.8032777777777778,0.1143888888888888,0.1970211111111111,2.2777777777777777,0.2268061323764009,0.647379759616322,0.1258141066568592,-0.1009920257195416,1.8222222222222224
598,2022-05-17,116.56029510498048,34.54938507080078,42.19731521606445,48.38711166381836,42.70410537719727,0.0331472497741691,0.0338983050847456,0.035536713347595,0.0756425438959123,0.0312209254124562,0.0340943813414613,92.19469947019306,2022Q2,2.16,2.98,0.61,2.71,3.36,2.89,3.17,1.06,2.96,1.57,3.0,5.0,2022.0,1.0,Tuesday,1.1505376344086022,0.0702473118279569,0.7942795698924731,0.1353870967741935,0.3252505376344086,2.419354838709677,0.1856460337757423,0.6047077073204902,0.2096462613797836,0.0240002276040413,1.989247311827957
599,2022-05-18,114.56642150878906,33.48381423950195,40.65268707275391,46.74735641479492,41.45909118652344,-0.0171059415592216,-0.0308419622842835,-0.0366048914581774,-0.0338882647184244,-0.0291544379557154,-0.0303945216156322,89.39248568429956,2022Q2,2.16,2.89,0.56,2.68,3.24,2.84,3.07,1.03,2.89,1.56,2.91,5.0,2022.0,2.0,Wednesday,1.170940170940171,0.0851965811965812,0.8009145299145298,0.1138632478632478,0.1619384615384615,2.2222222222222223,0.2230654245035515,0.654735769980993,0.1221988037204703,-0.1008666207830811,1.8376068376068373
600,2022-05-19,112.86829376220705,33.07102584838867,40.54649353027344,47.18335723876953,41.48781967163086,-0.0148222116412333,-0.0123279978846108,-0.0026122145945832,0.0093267482358985,0.0006929357177216,-0.0048237457368401,88.96127906257438,2022Q2,2.11,2.84,0.65,2.63,3.24,2.78,3.05,1.05,2.84,1.52,2.87,5.0,2022.0,3.0,Thursday,1.3010752688172045,0.0900967741935483,0.7961935483870969,0.1137204301075268,0.1191064516129032,2.118279569892473,0.2528625001019287,0.6239617776165727,0.1231757277142135,-0.1296867723877151,1.8172043010752688
601,2022-05-20,111.94290924072266,32.504642486572266,40.227909088134766,47.15492630004883,41.918792724609375,-0.0081987995976443,-0.0171262713292579,-0.0078572624757503,-0.0006025628608161,0.0103879417233683,-0.0041121211915092,88.5954595017174,2022Q2,2.07,2.78,0.63,2.6,3.17,2.73,2.99,1.03,2.8,1.51,2.82,5.0,2022.0,4.0,Friday,1.2023809523809523,0.0817023809523809,0.805202380952381,0.1130357142857142,0.2156904761904761,2.321428571428572,0.2113292848336554,0.6598996097842852,0.1287711107149897,-0.0825581741186657,1.869047619047619
602,2022-05-23,118.86898040771484,34.434181213378906,42.30350112915039,50.01739883422852,42.790306091308594,0.0618714594248959,0.0593619427625988,0.051595822106196,0.0607035734923147,0.020790516855405,0.047582351808594,92.81103982437216,2022Q2,2.09,2.86,0.55,2.65,3.26,2.8,3.08,1.07,2.88,1.57,2.9,5.0,2022.0,0.0,Monday,1.2236842105263157,0.0774342105263157,0.8098815789473685,0.1127631578947368,0.1688381578947368,2.223684210526316,0.2173106912952406,0.624962353784787,0.1577269536884207,-0.0595837376068199,1.868421052631579
603,2022-05-24,120.54803466796876,34.22299575805664,41.79185104370117,49.93208694458008,42.46467971801758,0.0141252516383572,-0.0061330180617221,-0.0120947456307972,-0.0017056442685312,-0.0076098164055236,-0.0049039845963428,92.35589591470288,2022Q2,2.02,2.76,0.55,2.5,3.16,2.66,2.98,1.06,2.76,1.53,2.8,5.0,2022.0,1.0,Tuesday,1.1888888888888889,0.0923777777777777,0.7953777777777779,0.1122333333333333,0.1241355555555555,2.1666666666666665,0.2656513467327587,0.6231245525181294,0.1112241052116991,-0.1544272415210596,1.7555555555555555
604,2022-05-25,121.3875503540039,34.40538787841797,42.5931282043457,49.95104598999024,42.828609466552734,0.0069641590453752,0.0053295194158562,0.0191730478701852,0.0003796966353761,0.00857017528336,0.014004359037928,93.6492810403619,2022Q2,2.01,2.75,0.58,2.48,3.14,2.63,2.97,1.06,2.71,1.52,2.76,5.0,2022.0,2.0,Wednesday,1.216867469879518,0.0978554216867469,0.7868795180722891,0.1152650602409638,0.093767469879518,2.0843373493975905,0.2307014669213129,0.6432522506598967,0.1260462828900619,-0.1046551840312509,1.855421686746988
605,2022-05-26,123.48636627197266,35.20216369628906,44.02190780639648,51.26854705810547,43.728851318359375,0.017290207371744,0.0231584605494565,0.0335448383879208,0.0263758454303288,0.0210196376445443,0.0270268808320486,96.1803289990468,2022Q2,1.99,2.75,0.71,2.46,3.18,2.63,2.99,1.07,2.7,1.52,2.75,5.0,2022.0,3.0,Thursday,1.09375,0.086703125,0.80284375,0.11053125,0.149434375,2.1875,0.2260419288249977,0.6088550533168018,0.1651030154025647,-0.0609389134224329,1.890625
